Region Name,"Police Force Area name","Community Safety Partnership name",Total Recorded Crime,Violence against the person,Sexual offences,Robbery,Theft offences,Burglary,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,All other theft offences,Criminal damage and arson,Drug offences,Possession of weapons offences,Public order offences,Miscellaneous crimes against society
South West,Avon and Somerset,Bath and North East Somerset,15046,5777,571,197,5086,722,876,102,120,2111,1155,1203,237,85,1662,228
South West,Avon and Somerset,"Bristol, City of",62452,22604,2370,1386,21420,2754,5366,490,1381,6641,4788,5113,1059,500,7108,892
South West,Avon and Somerset,North Somerset,17685,7726,753,169,4713,654,911,49,165,1626,1308,1515,270,135,2090,314
South West,Avon and Somerset,Somerset,45875,20409,2314,489,11845,1819,1496,117,315,4811,3287,3841,651,273,5203,850
South West,Avon and Somerset,South Gloucestershire,20514,8643,872,197,6215,993,1302,54,171,2117,1578,1597,316,121,2130,423
South West,Avon and Somerset,Unassigned Avon and Somerset,2310,748,353,23,628,67,150,35,36,103,237,145,80,17,196,120
East,Bedfordshire,Bedford,15077,5372,511,154,5396,937,1212,104,294,1773,1076,1319,466,157,1345,357
East,Bedfordshire,Central Bedfordshire,15842,5660,615,134,5825,866,1819,66,119,1579,1376,1437,344,108,1358,361
East,Bedfordshire,Luton,19756,7249,674,279,6847,851,1952,355,149,1871,1669,1548,782,284,1727,366
East,Bedfordshire,Unassigned Bedfordshire,1087,445,195,28,221,31,50,13,9,52,66,28,38,7,75,50
East,Cambridgeshire,Cambridge,15158,4112,396,192,7183,715,704,462,1169,2766,1367,1213,322,174,1314,252
East,Cambridgeshire,East Cambridgeshire,4123,1605,192,17,1293,271,195,22,23,395,387,460,84,42,309,121
East,Cambridgeshire,Fenland,7680,3065,293,51,2421,418,476,50,76,629,772,807,202,112,505,224
East,Cambridgeshire,Huntingdonshire,10126,3831,442,68,3020,509,705,75,225,727,779,1048,400,149,840,328
East,Cambridgeshire,Peterborough,22898,9095,893,266,6643,832,1464,249,400,2123,1575,2197,681,346,2112,665
East,Cambridgeshire,South Cambridgeshire,7306,2595,277,41,2635,633,609,28,99,536,730,828,131,61,533,205
East,Cambridgeshire,Unassigned Cambridgeshire,1253,573,172,4,154,17,31,19,9,13,65,72,56,17,86,119
North West,Cheshire,Cheshire East,25719,11497,1282,137,6388,1069,834,78,259,2257,1891,1979,787,238,2750,661
North West,Cheshire,Cheshire West and Chester,25192,11513,1306,113,5559,744,577,109,203,2107,1819,1934,946,220,2977,624
North West,Cheshire,Halton,12673,5747,524,99,2786,485,408,77,141,917,758,1062,686,131,1271,367
North West,Cheshire,Unassigned Cheshire,420,110,113,6,117,6,4,5,4,69,29,10,16,1,29,18
North West,Cheshire,Warrington,15504,6936,808,67,3517,475,531,67,176,1116,1152,1190,851,136,1578,421
London,City of London,City of London,7834,1363,187,168,4225,330,111,1375,240,1529,640,412,564,80,664,171
North East,Cleveland,Hartlepool,13263,4958,473,153,4129,634,480,41,68,2117,789,1488,435,150,1088,389
North East,Cleveland,Middlesbrough,24639,8996,818,358,6943,1372,1591,137,210,2109,1524,3315,1089,235,2235,650
North East,Cleveland,Redcar and Cleveland,15221,5685,544,111,4506,1030,683,33,122,1691,947,1944,498,138,1381,414
