area code,Area,Region,Territory,Total record,Violence against the person,Sexual offences,Robbery,Theft offences,Criminal damage and arson,Drug offences,Possession of weapons offences,Public order offences,Miscellaneous crimes
E23000013,ENGLAND ,North East,Cleveland,65829,24032,1836,604,18777,9662,2112,608,6306,1892
E23000008,ENGLAND ,North East,Durham,61445,26203,1837,206,15538,8620,1463,288,5516,1774
E23000007,ENGLAND ,North East,Northumbria,135828,46222,4077,741,38794,19694,3346,1098,18209,3647
E23000006,ENGLAND ,North West,Cheshire,91588,39593,2948,443,19685,9319,1967,383,15399,1851
E23000002,ENGLAND ,North West,Cumbria,35525,15359,1352,121,7270,5110,1049,264,4357,643
E23000005,ENGLAND ,North West,Greater Manchester,278276,88870,8361,5496,96527,30442,7341,3580,30538,7121
E23000003,ENGLAND ,North West,Lancashire,131118,55362,4034,979,37901,16317,2828,1125,9628,2944
E23000004,ENGLAND ,North West,Merseyside,134668,50780,3373,1190,33014,14790,12933,1432,14335,2821
E23000012,ENGLAND ,Yorkshire and The Humber,Humberside,92139,34188,2886,806,26153,11662,1874,551,11539,2480
E23000009,ENGLAND ,Yorkshire and The Humber,North Yorkshire,42879,16559,1661,220,12965,5211,1759,367,3153,984
E23000011,ENGLAND ,Yorkshire and The Humber,South Yorkshire,140559,48626,4181,1597,44489,16095,4007,1615,15462,4487
E23000010,ENGLAND ,Yorkshire and The Humber,West Yorkshire,268941,107461,7941,2779,71862,28184,8626,2171,32463,7454
E23000018,ENGLAND ,East Midlands,Derbyshire,78761,32183,2674,688,20584,8920,2612,837,8290,1973
E23000021,ENGLAND ,East Midlands,Leicestershire,89709,32481,2731,895,26739,10174,3115,781,10649,2144
E23000020,ENGLAND ,East Midlands,Lincolnshire,54060,20975,2072,308,15836,6234,1832,617,4843,1343
E23000022,ENGLAND ,East Midlands,Northamptonshire,62468,25983,2547,868,17873,6256,2063,637,4603,1638
E23000019,ENGLAND ,East Midlands,Nottinghamshire,96608,32210,2940,1002,33442,10911,4540,1082,7484,2997
E23000015,ENGLAND ,West Midlands,Staffordshire,75677,31736,2751,648,22399,9622,1877,632,4485,1527
E23000017,ENGLAND ,West Midlands,Warwickshire,40898,15350,1438,353,14454,3914,1211,518,2790,870
E23000016,ENGLAND ,West Midlands,West Mercia,80514,33964,3288,579,23708,8821,2646,892,5197,1419
E23000014,ENGLAND ,West Midlands,West Midlands,254357,102368,7521,7083,82650,19320,5788,3000,21702,4925
E23000026,ENGLAND ,East,Bedfordshire,52744,17369,1548,716,19469,5236,1839,356,5195,1016
E23000023,ENGLAND ,East,Cambridgeshire,65263,22754,2153,608,21810,7435,2013,639,6281,1570
E23000028,ENGLAND ,East,Essex,159611,66119,4795,1373,43064,16172,7020,1435,16001,3632
E23000027,ENGLAND ,East,Hertfordshire,77237,26576,2024,867,28868,7949,2997,607,5706,1643
E23000024,ENGLAND ,East,Norfolk,65020,27075,2796,394,14493,7406,2841,626,7145,2244
E23000025,ENGLAND ,East,Suffolk,53330,22075,2325,349,13546,5904,1876,496,5516,1243
E23000034,ENGLAND ,London,City of London,6086,832,55,99,3601,223,653,66,333,224
E23000001,ENGLAND ,London,Metropolitan Police,821236,221098,18959,31556,371991,52135,53011,6598,54828,11060
E23000030,ENGLAND ,South East,Hampshire,152756,59695,5583,1446,42728,15871,5525,1831,17313,2764
E23000032,ENGLAND ,South East,Kent,178192,76636,6031,1575,46566,21221,4394,1625,14592,5552
E23000031,ENGLAND ,South East,Surrey,73540,24894,2066,434,22771,9073,3407,668,8531,1696
E23000033,ENGLAND ,South East,Sussex,119900,43425,4551,1212,35492,13974,4594,1838,12014,2800
E23000029,ENGLAND ,South East,Thames Valley,167048,59417,5591,1462,58966,17803,6870,1877,11431,3631
E23000036,ENGLAND ,South West,Avon and Somerset,132230,45816,4001,1844,39494,14762,3810,946,19324,2233
E23000035,ENGLAND ,South West,Devon and Cornwall,95136,40889,4152,605,21107,13616,4479,1186,7085,2017
E23000039,ENGLAND ,South West,Dorset,51088,19656,1895,388,16351,6927,1412,358,3438,663
E23000037,ENGLAND ,South West,Gloucestershire,39909,14568,1300,348,13081,4638,1423,292,3541,718
E23000038,ENGLAND ,South West,Wiltshire,39410,15229,1408,307,11731,4502,1678,298,3466,791
W15000004,WALES,WALES,Dyfed-Powys,31554,14156,1202,60,6153,3852,2158,273,2828,872
W15000002,WALES,WALES,Gwent,52873,19536,1394,268,12698,7535,1680,236,7994,1532
W15000001,WALES,WALES,North Wales,57782,26392,2356,221,11673,6976,1813,349,6648,1354
W15000003,WALES,WALES,South Wales,103382,37492,3248,461,29792,11660,4993,761,12917,2058
