Area code,Area,Region,Territory,"Total recorded crime(excluding fraud) [note 2]","Violence against the person",Sexual offences,Robbery,Theft offences,"Criminal damage and arson",Drug offences,"Possession of weapons offences",Public order offences,Miscellaneous crimes
E23000013,ENGLAND ,North East,Cleveland,67850,26139,2239,615,17246,9187,2332,585,7597,1910
E23000008,ENGLAND ,North East,Durham,56398,24737,1927,169,12074,8555,1377,304,5633,1622
E23000007,ENGLAND ,North East,Northumbria,129083,47907,4456,686,31909,18687,3357,1027,17350,3704
E23000006,ENGLAND ,North West,Cheshire,87299,40575,3365,414,16148,7888,1845,332,15092,1640
E23000002,ENGLAND ,North West,Cumbria,32686,14509,1406,147,6112,4503,1025,233,4134,617
E23000005,ENGLAND ,North West,Greater Manchester,322380,121342,10418,4897,86537,31666,8131,3908,46687,8794
E23000003,ENGLAND ,North West,Lancashire,129096,56388,4526,969,32887,16085,2989,1387,10691,3174
E23000004,ENGLAND ,North West,Merseyside,145318,58980,3955,1122,30030,14601,12317,1179,19801,3333
E23000012,ENGLAND ,Yorkshire and The Humber,Humberside,86906,34675,2699,665,20779,10619,2235,580,12077,2577
E23000009,ENGLAND ,Yorkshire and The Humber,North Yorkshire,43445,18181,1843,231,10502,5424,1798,366,4236,864
E23000011,ENGLAND ,Yorkshire and The Humber,South Yorkshire,137761,50233,4126,1466,38838,16168,4679,1701,15718,4832
E23000010,ENGLAND ,Yorkshire and The Humber,West Yorkshire,267413,114290,8430,2310,60196,27173,8574,2287,37160,6993
E23000018,ENGLAND ,East Midlands,Derbyshire,81054,33852,3019,594,19330,8861,2660,843,9859,2036
E23000021,ENGLAND ,East Midlands,Leicestershire,92207,36723,3715,723,21769,9969,3641,824,12410,2433
E23000020,ENGLAND ,East Midlands,Lincolnshire,50691,20504,2076,298,13716,5975,1606,499,4758,1259
E23000022,ENGLAND ,East Midlands,Northamptonshire,61437,27332,2715,718,14853,5925,1981,733,5650,1530
E23000019,ENGLAND ,East Midlands,Nottinghamshire,89873,31653,3027,782,28092,10557,4241,1072,7692,2757
E23000015,ENGLAND ,West Midlands,Staffordshire,68107,31121,2683,657,18089,8019,1289,529,4516,1204
E23000017,ENGLAND ,West Midlands,Warwickshire,37280,15342,1435,324,10767,3563,1255,428,3317,849
E23000016,ENGLAND ,West Midlands,West Mercia,77714,33624,3560,480,20624,8134,2489,798,6438,1567
E23000014,ENGLAND ,West Midlands,West Midlands,509580,229237,18134,8868,134045,42496,12020,6720,47639,10421
E23000026,ENGLAND ,East,Bedfordshire,48787,17839,1542,519,15427,4733,1761,429,5474,1063
E23000023,ENGLAND ,East,Cambridgeshire,62955,23646,2332,641,18523,6683,2004,641,6830,1655
E23000028,ENGLAND ,East,Essex,154561,68672,5760,1293,37042,14134,6112,1188,16962,3398
E23000027,ENGLAND ,East,Hertfordshire,72415,25908,2243,608,26096,7183,2750,569,5494,1564
E23000024,ENGLAND ,East,Norfolk,65950,30734,2819,321,11611,6993,2427,524,8184,2337
E23000025,ENGLAND ,East,Suffolk,48295,20700,2451,250,11009,5177,1770,400,5379,1159
E23000034,ENGLAND ,London,City of London,4075,602,65,89,1948,194,612,40,342,183
E23000001,ENGLAND ,London,Metropolitan Police,767017,226924,21961,22848,322215,51318,46583,5767,57805,11596
E23000030,ENGLAND ,South East,Hampshire,154108,63840,6280,1193,37801,15054,5847,1802,19732,2559
E23000032,ENGLAND ,South East,Kent,171307,79641,6277,1121,37549,20782,4376,1207,14489,5865
E23000031,ENGLAND ,South East,Surrey,67294,24820,2286,388,18626,7495,2998,550,8631,1500
E23000033,ENGLAND ,South East,Sussex,112112,42466,4712,823,29800,12680,4530,1432,12832,2837
E23000029,ENGLAND ,South East,Thames Valley,165883,61572,5996,954,48696,15876,7083,1121,21347,3238
E23000036,ENGLAND ,South West,Avon and Somerset,127181,47260,4652,1446,34130,14226,3243,832,19074,2318
E23000035,ENGLAND ,South West,Devon and Cornwall,95690,42988,4785,501,18251,13126,4721,1173,7939,2206
E23000039,ENGLAND ,South West,Dorset,48415,18754,2045,371,14894,6422,1229,283,3864,553
E23000037,ENGLAND ,South West,Gloucestershire,40424,16829,1594,304,10537,4707,1453,283,3734,983
E23000038,ENGLAND ,South West,Wiltshire,37925,15913,1512,317,9338,4879,1303,333,3543,787
W15000004,WALES,WALES,Dyfed-Powys,38196,18749,1454,47,5714,4098,1843,249,5230,812
W15000002,WALES,WALES,Gwent,49478,19113,1490,265,10394,7360,1606,243,7594,1413
W15000001,WALES,WALES,North Wales,58748,28328,2278,209,9993,6586,1704,291,7999,1360
W15000003,WALES,WALES,South Wales,98940,37674,3273,484,25282,10810,4966,696,13738,2017
