Area Code,Area,Region,Territory," Total recorded crime (excluding fraud) [note 2]",Violence against the person,Sexual offences,Robbery,Theft offences,Criminal damage and arson,Drug offences,Possession of weapons offences,Public order offences,Miscellaneous crimes
E23000013,ENGLAND ,North East,Cleveland,79547,29730,2625,859,22039,10650,2123,707,8842,1972
E23000008,ENGLAND ,North East,Durham,59766,23928,2226,178,14411,9500,1419,402,6058,1644
E23000007,ENGLAND ,North East,Northumbria,140329,52792,5248,833,38977,19259,2766,1241,15932,3281
E23000006,ENGLAND ,North West,Cheshire,88677,41296,3750,404,17869,7810,1761,478,13613,1696
E23000002,ENGLAND ,North West,Cumbria,39345,17306,1814,152,7841,5313,1011,363,4760,785
E23000005,ENGLAND ,North West,Greater Manchester,366124,138655,11672,5255,103291,33251,8463,4625,51800,9112
E23000003,ENGLAND ,North West,Lancashire,138295,59941,5353,1039,37658,16740,2503,1474,10251,3336
E23000004,ENGLAND ,North West,Merseyside,172349,71055,4860,1344,35158,15977,12149,1362,26836,3608
E23000012,ENGLAND ,Yorkshire and The Humber,Humberside,96206,37027,3314,745,26280,11943,1662,501,11947,2787
E23000009,ENGLAND ,Yorkshire and The Humber,North Yorkshire,48657,20750,2130,261,12411,5699,1442,319,4862,783
E23000011,ENGLAND ,Yorkshire and The Humber,South Yorkshire,157457,57711,4574,1840,46983,18435,3841,1842,17203,5028
E23000010,ENGLAND ,Yorkshire and The Humber,West Yorkshire,311573,131856,9542,2878,75307,29630,8458,2629,44204,7069
E23000018,ENGLAND ,East Midlands,Derbyshire,83793,35614,3512,633,20139,8728,2231,1001,10024,1911
E23000021,ENGLAND ,East Midlands,Leicestershire,105199,40531,4054,779,27961,11244,3258,973,13857,2542
E23000020,ENGLAND ,East Midlands,Lincolnshire,57261,23487,2540,363,15972,6557,1358,536,5105,1343
E23000022,ENGLAND ,East Midlands,Northamptonshire,63611,27810,2968,778,16418,6315,2153,937,4645,1587
E23000019,ENGLAND ,East Midlands,Nottinghamshire,103599,36061,3615,1040,34014,11823,4052,1362,8560,3072
E23000015,ENGLAND ,West Midlands,Staffordshire,87793,39403,3829,914,23596,8943,2120,746,6634,1608
E23000017,ENGLAND ,West Midlands,Warwickshire,41639,16096,1626,370,13244,4130,944,556,3678,995
E23000016,ENGLAND ,West Midlands,West Mercia,93590,39826,4045,674,25797,9135,1997,979,9422,1715
E23000014,ENGLAND ,West Midlands,West Midlands,371684,159655,10953,8323,105919,30222,8007,7096,34981,6528
E23000026,ENGLAND ,East,Bedfordshire,52733,19084,1756,612,17466,4742,1835,520,5523,1195
E23000023,ENGLAND ,East,Cambridgeshire,69388,25684,2768,638,21142,6962,1976,780,7681,1757
E23000028,ENGLAND ,East,Essex,168945,72663,6553,1440,44205,15771,5357,1595,17801,3560
E23000027,ENGLAND ,East,Hertfordshire,75720,27701,2616,567,27774,7493,2455,574,5095,1445
E23000024,ENGLAND ,East,Norfolk,69208,31285,3465,359,13736,7275,2140,793,7814,2341
E23000025,ENGLAND ,East,Suffolk,52822,22987,2841,304,12136,5569,1613,609,5558,1205
E23000034,ENGLAND ,London,City of London,7236,1282,130,101,4071,302,577,59,504,210
E23000001,ENGLAND ,London,Metropolitan Police,862065,242651,25779,26578,389401,53840,45612,6291,59859,12054
E23000030,ENGLAND ,South East,Hampshire,178553,77294,7555,1338,43836,16101,5366,2132,22152,2779
E23000032,ENGLAND ,South East,Kent,180349,80870,6830,1341,45216,21427,4098,1467,13390,5710
E23000031,ENGLAND ,South East,Surrey,71621,26540,2585,401,21420,7545,2296,580,8814,1440
E23000033,ENGLAND ,South East,Sussex,125181,47238,5411,990,34825,13646,3362,1760,15197,2752
E23000029,ENGLAND ,South East,Thames Valley,179457,66450,6652,1012,54846,16962,5544,1322,23649,3020
E23000036,ENGLAND ,South West,Avon and Somerset,142673,54293,5459,1537,40071,14726,2856,888,20208,2635
E23000035,ENGLAND ,South West,Devon and Cornwall,105181,47112,5623,631,21487,13662,4358,1418,8460,2430
E23000039,ENGLAND ,South West,Dorset,51120,19937,2429,370,16075,6318,1093,316,3926,656
E23000037,ENGLAND ,South West,Gloucestershire,56602,25135,2169,348,13292,5354,1175,345,7477,1307
E23000038,ENGLAND ,South West,Wiltshire,42227,17500,1843,315,11089,5112,1073,422,4061,812
W15000004,WALES,WALES,Dyfed-Powys,44127,21908,1737,85,6625,4855,1882,276,5900,859
W15000002,WALES,WALES,Gwent,58563,23543,1866,306,11572,8459,1241,358,9768,1450
W15000001,WALES,WALES,North Wales,67720,32077,2879,156,12200,7565,1528,406,9447,1462
W15000003,WALES,WALES,South Wales,105650,40357,3864,493,29117,11449,3223,704,14474,1969
